method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
base,0.11028103123011809,0.01973392814397812,0.5,20260902,1.0,0.0
fixed_level_1,0.11031883448643735,0.01870211400091648,0.5093457943925234,20260902,1.0,193.57009345794393
fixed_level_2,0.10982717383086679,0.01857406087219715,0.514018691588785,20260902,1.0,161.8644859813084
fixed_level_3,0.10983930741107885,0.016635533422231674,0.5463414634146342,20260902,0.9579439252336449,74.17073170731707
fixed_level_4,0.10884392182791466,0.020376555621623993,0.5029585798816568,20260902,0.7897196261682243,12.982248520710058
operational_theorem_frontier,0.11028103123011809,0.01973392814397812,0.5,20260902,1.0,0.0
operational_mean_frontier,0.109250901302363,0.01823980174958706,0.514018691588785,20260902,1.0,48.700934579439256
old_score_proxy,0.1105435882229181,0.01916547119617462,0.5093457943925234,20260902,1.0,106.64485981308411
base,0.11211381042923022,0.019455406814813614,0.49065420560747663,20260903,1.0,0.0
fixed_level_1,0.11217485486250871,0.01956905797123909,0.48598130841121495,20260903,1.0,190.8177570093458
fixed_level_2,0.11209622356493705,0.019250525161623955,0.4953271028037383,20260903,1.0,169.61214953271028
fixed_level_3,0.11241003519437201,0.019115226343274117,0.4951923076923077,20260903,0.9719626168224299,78.28365384615384
fixed_level_4,0.11458745727968586,0.017779387533664703,0.5207100591715976,20260903,0.7897196261682243,15.331360946745562
operational_theorem_frontier,0.11211381042923022,0.019455406814813614,0.49065420560747663,20260903,1.0,0.0
operational_mean_frontier,0.11224284689062992,0.019173191860318184,0.49065420560747663,20260903,1.0,55.149532710280376
old_score_proxy,0.11227928003588244,0.019235758110880852,0.49065420560747663,20260903,1.0,112.54672897196262
base,0.10272733421093712,0.01885497011244297,0.45794392523364486,20260904,1.0,0.0
fixed_level_1,0.10276605476282151,0.0178080964833498,0.48598130841121495,20260904,1.0,182.30373831775702
fixed_level_2,0.10239604167929692,0.0178080964833498,0.48598130841121495,20260904,1.0,157.02803738317758
fixed_level_3,0.10241799425232885,0.018471309915184975,0.4714285714285714,20260904,0.9813084112149533,71.57142857142857
fixed_level_4,0.09750884090968587,0.01615772768855095,0.4909090909090909,20260904,0.7710280373831776,13.55151515151515
operational_theorem_frontier,0.10272733421093712,0.01885497011244297,0.45794392523364486,20260904,1.0,0.0
operational_mean_frontier,0.10194010633853443,0.019146746024489403,0.45794392523364486,20260904,1.0,59.01401869158879
old_score_proxy,0.10254455570841833,0.018902452662587166,0.46261682242990654,20260904,1.0,66.11214953271028
base,0.11593910635706141,0.021430695429444313,0.4719626168224299,20260905,1.0,0.0
fixed_level_1,0.11604030480869194,0.021265776827931404,0.48130841121495327,20260905,1.0,185.59345794392524
fixed_level_2,0.11593444392277122,0.021667374297976494,0.4719626168224299,20260905,1.0,160.7429906542056
fixed_level_3,0.11649730727304486,0.021806074306368828,0.47115384615384615,20260905,0.9719626168224299,73.1923076923077
fixed_level_4,0.11601910075423376,0.02345574088394642,0.4418604651162791,20260905,0.8037383177570093,13.645348837209303
operational_theorem_frontier,0.11593910635706141,0.021430695429444313,0.4719626168224299,20260905,1.0,0.0
operational_mean_frontier,0.11596323299666052,0.021760325878858566,0.4672897196261682,20260905,1.0,55.99065420560748
old_score_proxy,0.1157859987185902,0.021003900095820427,0.4766355140186916,20260905,1.0,102.82242990654206
base,0.10700015188551634,0.020613286644220352,0.48130841121495327,20260906,1.0,0.0
fixed_level_1,0.10683474865254933,0.020522229373455048,0.4766355140186916,20260906,1.0,192.63084112149534
fixed_level_2,0.10685109870463903,0.020637502893805504,0.4719626168224299,20260906,1.0,172.30841121495328
fixed_level_3,0.10807805460666405,0.019492045044898987,0.4857142857142857,20260906,0.9813084112149533,79.58095238095238
fixed_level_4,0.10627886572134307,0.019350942224264145,0.5,20260906,0.8504672897196262,12.648351648351648
